DOI,Cited_in_proteins,Protein_page
10.1126##science.1202793,no,
10.1126##science.1213808,no,
10.1126##science.1236501,no,
10.1126##science.1243352,no,
10.1126##science.1246489,no,
10.1126##science.1246729,no,
10.1126##science.1251915,no,
10.1126##science.1252043,no,
10.1126##science.1256508,no,
10.1126##science.1258409,no,
10.1126##science.1259723,no,
10.1126##science.1260590,no,
10.1126##science.1261833,no,
10.1126##science.280.5360.69,no,
10.1126##science.280.5371.1934,no,
10.1126##science.286.5438.255,no,
10.1126##science.289.5480.739,no,
10.1126##science.290.5491.481,no,
10.1126##science.aaa4335,no,
10.1126##science.aaa5026,no,
10.1126##science.aad1172,no,
10.1126##science.aad3747,no,
10.1126##science.aah6345,no,
10.1126##science.aan5468,no,
10.1126##science.aan5611,no,
10.1126##science.aan8862,no,
10.1126##science.aaq1739,no,
10.1126##science.aat0094,no,
10.1126##science.aau5595,no,
10.1126##science.aav0365,no,
10.1126##science.aav7541,no,
10.1126##science.aaw8981,no,
10.1126##science.aax6998,no,
10.1126##science.abc5667,no,
10.1128##JB.187.19.6804-6815.2005,no,
10.1186##s12915-015-0167-8,no,
10.1186##s12915-016-0295-9,no,
10.1186##s12915-021-01102-4,no,
10.1371##JOURNAL.PBIO.1000130,no,
10.1371##JOURNAL.PBIO.1000443,no,
10.1371##journal.pbio.0000072,no,
10.1371##journal.pbio.1001441,no,
10.1371##journal.pbio.1002411,no,
10.1371##journal.pone.0043045,no,
10.1371##journal.pone.0046039,no,
10.1371##journal.pone.0097475,no,
10.1371##journal.pone.0108362,no,
10.1371##journal.pone.0159154,no,
10.15252##embj.201489367,no,
10.15252##embj.201797278,no,
10.15252##embj.2020105164,no,
10.15252##embj.2020105246,no,
10.3389##fmicb.2017.02095,no,
10.3390##ijms23010335,no,
10.3390##membranes13020154,no,
10.7554##ELIFE.03583,no,
10.7554##eLife.03145,no,
10.7554##eLife.09375,no,
10.7554##eLife.18767,no,
10.7554##eLife.27829,no,
10.7554##eLife.28032,no,
10.7554##eLife.31259,no,
10.7554##eLife.34995,no,
10.7554##eLife.36758,no,
10.7554##eLife.45221,no,
10.7554##eLife.45286,no,
10.7554##eLife.47060,no,
10.7554##eLife.48822,no,
10.7554##eLife.50403,no,
10.7554##eLife.51511,no,
10.7554##eLife.51913,no,
10.7554##eLife.53479,no,
10.7554##eLife.53683,no,
10.7554##eLife.64389,no,
10.7554##eLife.65903,no,
10.7554##eLife.69482,no,
10.7554##eLife.76766,no,
10.7554##eLife.84006,no,
